set,set_name,id,statement,source_page,type,expected_split,chars
A,Diagnosis: the state of the knowledge loop,A-01,Declining referrals from Google search account for most of the recent fall in human traffic to Wikipedia.,14,diagnostic,lean,105
A,Diagnosis: the state of the knowledge loop,A-02,Wikipedia's search referral traffic would have declined even if generative AI had not emerged.,13–14,diagnostic,divisive,94
A,Diagnosis: the state of the knowledge loop,A-03,Machine traffic to Wikimedia projects will eventually exceed human traffic.,22,diagnostic,lean,75
A,Diagnosis: the state of the knowledge loop,A-04,AI systems that summarise Wikipedia content without linking to it reduce the number of readers who go on to become editors.,"22, 56",diagnostic,lean,123
A,Diagnosis: the state of the knowledge loop,A-05,"The most serious risk to Wikimedia from AI is the cost of serving machine traffic, rather than the loss of influence over how knowledge is produced.","21, 30",diagnostic,divisive,148
A,Diagnosis: the state of the knowledge loop,A-06,Wikimedia is on the same trajectory that Stack Overflow followed after 2022.,31,diagnostic,divisive,76
A,Diagnosis: the state of the knowledge loop,A-07,Stack Overflow declined for reasons specific to programming questions that do not apply to an encyclopedia.,31,diagnostic,divisive,107
A,Diagnosis: the state of the knowledge loop,A-08,Wikipedia's decision to remain a text-based medium has cost it readers who prefer video.,16,diagnostic,lean,88
A,Diagnosis: the state of the knowledge loop,A-09,"Readers who prefer quick, low-effort answers have a legitimate need that Wikipedia has not met.",16,value,divisive,95
A,Diagnosis: the state of the knowledge loop,A-10,Large AI models trained mainly on English Wikipedia present its coverage as global default knowledge.,"19, 36",diagnostic,consensus,101
A,Diagnosis: the state of the knowledge loop,A-11,Open licensing has allowed AI developers to take value from Wikimedia while returning little in exchange.,"27, 29",diagnostic,lean,105
A,Diagnosis: the state of the knowledge loop,A-12,Large-scale AI training on Wikipedia content is exactly the kind of reuse that Wikimedia's open licences were written to permit.,27,diagnostic,divisive,128
A,Diagnosis: the state of the knowledge loop,A-13,Most people who now rely on Wikipedia-derived content do not know that they are doing so.,29,diagnostic,lean,89
A,Diagnosis: the state of the knowledge loop,A-14,"Paywalls, bot-blocking, and AI-generated web content are making it harder for editors to find citable sources.",22,diagnostic,consensus,110
B,Strategic posture,B-01,Wikimedia's current approach to AI companies is closer to passive acceptance than to active negotiation.,50,diagnostic,lean,104
B,Strategic posture,B-02,Rate-limiting AI crawlers protects Wikimedia infrastructure at an acceptable cost to openness.,49,policy,divisive,94
B,Strategic posture,B-03,Restricting access to Wikimedia content in response to AI scraping would do more damage to the mission than the scraping does.,49–50,policy,divisive,126
B,Strategic posture,B-04,Wikimedia should offer some AI companies exclusive access to its content in exchange for higher payment.,49–50,policy,divisive,104
B,Strategic posture,B-05,"Keeping access open without conditions remains the right approach, since reuse eventually returns value to the commons.",49–50,policy,divisive,119
B,Strategic posture,B-06,"Wikimedia should set conditions on how AI systems use its content, rather than granting permission in advance through open licences.","51, 60",policy,divisive,132
B,Strategic posture,B-07,Wikimedia has enough influence over AI companies to negotiate terms those companies would otherwise refuse.,"42, 51",diagnostic,divisive,107
B,Strategic posture,B-08,The volume of openly shared content is no longer an adequate measure of the health of the knowledge commons.,46,value,lean,108
B,Strategic posture,B-09,"When openness and the financial sustainability of Wikimedia conflict, sustainability should take precedence.",46,value,divisive,108
B,Strategic posture,B-10,Wikimedia Enterprise shows that large-scale commercial use of the commons can be structured through negotiated agreements.,51,diagnostic,consensus,122
B,Strategic posture,B-11,"Wikimedia Enterprise revenue, at 4% of Foundation income, is too small to change how AI companies behave.",51,diagnostic,lean,105
B,Strategic posture,B-12,Taking an active political stance toward AI companies would damage Wikimedia's reputation for neutrality.,66,diagnostic,divisive,105
B,Strategic posture,B-13,Wikimedia should treat its relationship with AI companies as a negotiation between parties whose interests conflict.,"12, 40",value,lean,116
C,Reciprocity and the terms of reuse,C-01,AI systems that draw on Wikimedia content should display visible attribution to Wikipedia in their answers.,"40, 51",policy,consensus,107
C,Reciprocity and the terms of reuse,C-02,"Attribution requirements cannot be enforced against large AI companies, so Wikimedia should direct its effort elsewhere.",12,policy,divisive,120
C,Reciprocity and the terms of reuse,C-03,AI developers should be required to disclose which Wikimedia content they used to train their models.,"40, 60",policy,lean,101
C,Reciprocity and the terms of reuse,C-04,The Share Alike condition should be redesigned to cover AI models trained on Wikimedia content.,59–60,policy,divisive,95
C,Reciprocity and the terms of reuse,C-05,Applying Share Alike to the outputs of AI models would prove unworkable in practice.,59–60,diagnostic,divisive,84
C,Reciprocity and the terms of reuse,C-06,AI companies that use Wikimedia content at scale should pay for that use.,51,policy,lean,73
C,Reciprocity and the terms of reuse,C-07,Requirements to attribute and link matter more to Wikimedia's future than payments from AI companies.,"41, 56",value,divisive,101
C,Reciprocity and the terms of reuse,C-08,AI platforms should share data with Wikimedia communities about what readers ask them.,41,policy,lean,86
