set,set_name,id,statement,source_page,type,expected_split,chars
C,Reciprocity and the terms of reuse,C-01,AI systems that draw on Wikimedia content should display visible attribution to Wikipedia in their answers.,"40, 51",policy,consensus,107
C,Reciprocity and the terms of reuse,C-02,"Attribution requirements cannot be enforced against large AI companies, so Wikimedia should direct its effort elsewhere.",12,policy,divisive,120
C,Reciprocity and the terms of reuse,C-03,AI developers should be required to disclose which Wikimedia content they used to train their models.,"40, 60",policy,lean,101
C,Reciprocity and the terms of reuse,C-04,The Share Alike condition should be redesigned to cover AI models trained on Wikimedia content.,59–60,policy,divisive,95
C,Reciprocity and the terms of reuse,C-05,Applying Share Alike to the outputs of AI models would prove unworkable in practice.,59–60,diagnostic,divisive,84
C,Reciprocity and the terms of reuse,C-06,AI companies that use Wikimedia content at scale should pay for that use.,51,policy,lean,73
C,Reciprocity and the terms of reuse,C-07,Requirements to attribute and link matter more to Wikimedia's future than payments from AI companies.,"41, 56",value,divisive,101
C,Reciprocity and the terms of reuse,C-08,AI platforms should share data with Wikimedia communities about what readers ask them.,41,policy,lean,86
C,Reciprocity and the terms of reuse,C-09,Accepting usage data from AI platforms would make Wikimedia's editorial priorities dependent on commercial partners.,41,diagnostic,divisive,116
C,Reciprocity and the terms of reuse,C-10,Access to Wikimedia content at scale should be conditional on meeting reciprocity requirements.,57,policy,divisive,95
C,Reciprocity and the terms of reuse,C-11,"Wikimedia should apply the same reuse conditions to every AI developer, rather than negotiating agreements one at a time.",51,policy,divisive,121
C,Reciprocity and the terms of reuse,C-12,Reciprocity agreements negotiated company by company will not shift the norms of the wider ecosystem.,51,diagnostic,lean,101
C,Reciprocity and the terms of reuse,C-13,Wikimedia should seek a seat in the bodies that set AI ecosystem protocols such as MCP.,"42, 60",policy,lean,87
C,Reciprocity and the terms of reuse,C-14,"Wikimedia should publish rules covering how it collects, documents, and licenses the datasets it creates.",60,policy,consensus,105
